model,train_ratio,reduction_train,reduction_test,f_score
LogisticRegression,0.5,0.25,0.25,0.5690036900369004
LogisticRegression,0.5,0.25,0.5,0.4758609844315144
LogisticRegression,0.5,0.25,0.75,0.3290211297973264
LogisticRegression,0.5,0.25,0.99,0.020854355869492094
LogisticRegression,0.5,0.25,0.999,0.002061855670103093
LogisticRegression,0.5,0.5,0.0,0.6156830712681234
LogisticRegression,0.5,0.5,0.25,0.5635126777983921
LogisticRegression,0.5,0.5,0.5,0.46962025316455697
LogisticRegression,0.5,0.5,0.75,0.3282871972318339
LogisticRegression,0.5,0.5,0.99,0.02092473844076949
LogisticRegression,0.5,0.5,0.999,0.0013797861331493618
LogisticRegression,0.5,0.75,0.0,0.6189456510655654
LogisticRegression,0.5,0.75,0.25,0.562755544542188
LogisticRegression,0.5,0.75,0.5,0.47809643870154434
LogisticRegression,0.5,0.75,0.75,0.3269731136166522
LogisticRegression,0.5,0.75,0.99,0.020304568527918784
LogisticRegression,0.5,0.75,0.999,0.0020739716557207056
LogisticRegression,0.5,0.99,0.0,0.5968618603220182
LogisticRegression,0.5,0.99,0.25,0.5463777089783282
LogisticRegression,0.5,0.99,0.5,0.45853658536585373
LogisticRegression,0.5,0.99,0.75,0.3113308965813803
LogisticRegression,0.5,0.99,0.99,0.018530774321641297
LogisticRegression,0.5,0.99,0.999,0.0013508949679162444
LogisticRegression,0.5,0.999,0.0,0.20451640391989775
LogisticRegression,0.5,0.999,0.25,0.21721198790211713
LogisticRegression,0.5,0.999,0.5,0.19187898089171976
LogisticRegression,0.5,0.999,0.75,0.14152966404574696
LogisticRegression,0.5,0.999,0.99,0.04266666666666667
